Prime,Prime Mod 12,# of Conjugate Pairs,# of Isogenous Conjugate Pairs,% of Isogenous Conjugates
23887,7,954,83,0.08700209644
23893,1,979,57,0.0582226762
23899,7,969,39,0.04024767802
23909,5,958,16,0.01670146138
23911,7,931,51,0.05477980666
23917,1,979,86,0.08784473953
23929,1,975,36,0.03692307692
23957,5,964,41,0.04253112033
23971,7,952,47,0.0493697479
23977,1,984,43,0.04369918699
23981,5,945,26,0.02751322751
23993,5,969,24,0.02476780186
24001,1,973,40,0.04110996917
24007,7,977,49,0.05015353122
24019,7,968,37,0.0382231405
24023,11,914,39,0.04266958425
24029,5,951,30,0.03154574132
24043,7,979,59,0.06026557712
24049,1,979,37,0.03779366701
24061,1,986,35,0.0354969574
24071,11,905,27,0.02983425414
24077,5,975,31,0.03179487179
24083,11,955,36,0.03769633508
24091,7,979,48,0.04902962206
24097,1,989,83,0.0839231547
24103,7,972,47,0.04835390947
24107,11,956,37,0.03870292887
24109,1,982,43,0.04378818737
24113,5,976,44,0.04508196721
24121,1,976,67,0.06864754098
24133,1,992,48,0.04838709677
24137,5,982,31,0.03156822811
24151,7,954,26,0.02725366876
24169,1,979,54,0.05515832482
24179,11,965,20,0.0207253886
24181,1,980,44,0.04489795918
24197,5,966,27,0.02795031056
24203,11,974,31,0.0318275154
24223,7,976,87,0.08913934426
24229,1,986,33,0.03346855984
24239,11,897,22,0.02452619844
24247,7,983,88,0.08952187182
24251,11,934,25,0.02676659529
24281,5,955,21,0.0219895288
24317,5,980,39,0.03979591837
24329,5,977,22,0.02251791198
24337,1,999,67,0.06706706707
24359,11,908,31,0.03414096916
24371,11,951,13,0.01366982124
24373,1,996,51,0.05120481928
24379,7,971,63,0.0648815654
24391,7,955,57,0.05968586387
24407,11,969,43,0.04437564499
24413,5,988,32,0.03238866397
24419,11,947,23,0.02428722281
24421,1,998,66,0.06613226453
24439,7,976,34,0.03483606557
24443,11,974,39,0.04004106776
24469,1,998,37,0.0370741483
24473,5,999,32,0.03203203203
24481,1,999,43,0.04304304304
24499,7,982,37,0.03767820774
24509,5,975,17,0.01743589744
24517,1,1002,91,0.09081836327
24527,11,932,34,0.0364806867
24533,5,992,55,0.05544354839
24547,7,988,62,0.06275303644
24551,11,939,22,0.02342917998
24571,7,999,30,0.03003003003
24593,5,1002,23,0.02295409182
24611,11,981,30,0.03058103976
24623,11,979,27,0.02757916241
24631,7,960,51,0.053125
24659,11,951,24,0.02523659306
24671,11,919,34,0.03699673558
24677,5,1007,31,0.03078450844
24683,11,978,21,0.02147239264
24691,7,998,32,0.03206412826
24697,1,1013,60,0.05923000987
24709,1,999,47,0.04704704705
24733,1,1017,75,0.07374631268
24749,5,993,17,0.01711983887
24763,7,1013,66,0.06515301086
24767,11,962,29,0.03014553015
24781,1,1014,37,0.03648915187
24793,1,1015,79,0.07783251232
24799,7,983,72,0.07324516785
24809,5,1004,25,0.02490039841
24821,5,979,34,0.03472931563
24841,1,1008,57,0.05654761905
24847,7,1003,56,0.05583250249
24851,11,981,18,0.01834862385
24859,7,1007,32,0.0317775571
24877,1,1017,80,0.07866273353
24889,1,1011,33,0.03264094955
24907,7,1021,69,0.06758080313
24917,5,1005,21,0.02089552239
24919,7,989,63,0.06370070779
24923,11,980,44,0.04489795918
24943,7,1004,58,0.0577689243
24953,5,1007,49,0.04865938431
24967,7,1005,80,0.07960199005
24971,11,1000,24,0.024
24977,5,1005,34,0.03383084577
24979,7,1010,55,0.05445544554
24989,5,972,27,0.02777777778
25013,5,1016,22,0.02165354331
25031,11,931,21,0.02255639098
25033,1,1026,53,0.05165692008
25037,5,1007,36,0.03574975174
25057,1,1030,59,0.0572815534
25073,5,1010,44,0.04356435644
25087,7,1006,69,0.06858846918
25097,5,1022,29,0.02837573386
25111,7,1009,42,0.04162537166
25117,1,1033,61,0.05905130687
25121,5,987,25,0.02532928065
25127,11,995,40,0.04020100503
25147,7,1025,89,0.08682926829
25153,1,1035,66,0.06376811594
25163,11,1004,31,0.03087649402
25169,5,999,22,0.02202202202
25171,7,1008,38,0.0376984127
25183,7,1024,76,0.07421875
25189,1,1023,53,0.05180840665
25219,7,1008,53,0.05257936508
25229,5,999,17,0.01701701702
25237,1,1037,55,0.05303760849
25243,7,1035,49,0.04734299517
25247,11,964,38,0.03941908714
25253,5,1023,25,0.02443792766
25261,1,1024,70,0.068359375
25301,5,1000,21,0.021
25303,7,1031,74,0.07177497575
25307,11,1008,27,0.02678571429
25309,1,1038,55,0.05298651252
25321,1,1025,35,0.03414634146
25339,7,1013,54,0.05330700888
25343,11,979,50,0.05107252298
25349,5,1008,18,0.01785714286
25357,1,1040,77,0.07403846154
25367,11,987,33,0.03343465046
25373,5,1008,33,0.03273809524
25391,11,990,21,0.02121212121
25409,5,1003,23,0.02293120638
25411,7,1026,47,0.04580896686
25423,7,1022,87,0.08512720157
25439,11,984,17,0.01727642276
25447,7,1038,73,0.07032755299
25453,1,1038,50,0.04816955684
25457,5,1017,49,0.04818092429
25463,11,1003,24,0.02392821535
25469,5,1023,28,0.02737047898
25471,7,997,44,0.04413239719
25523,11,1035,31,0.02995169082
25537,1,1052,57,0.05418250951
25541,5,1002,25,0.0249500998
25561,1,1043,33,0.03163950144
25577,5,1024,32,0.03125
25579,7,1043,37,0.03547459252
25583,11,973,40,0.04110996917
25589,5,1035,23,0.02222222222
25601,5,1019,20,0.01962708538
25603,7,1046,42,0.04015296367
25609,1,1044,63,0.06034482759
25621,1,1044,53,0.05076628352
25633,1,1048,84,0.08015267176
25639,7,1015,47,0.04630541872
25643,11,1026,29,0.02826510721
25657,1,1057,80,0.0756859035
25667,11,1025,48,0.04682926829
25673,5,1045,30,0.02870813397
25679,11,951,24,0.02523659306
25693,1,1053,70,0.06647673314
25703,11,984,31,0.03150406504
25717,1,1048,59,0.05629770992
25733,5,1050,38,0.03619047619
25741,1,1051,34,0.03235014272
25747,7,1048,58,0.05534351145
25759,7,1006,46,0.04572564612
25763,11,1027,41,0.03992210321
25771,7,1047,61,0.0582617001
25793,5,1035,47,0.04541062802
25799,11,1013,22,0.02171767029
25801,1,1041,36,0.03458213256
25819,7,1029,44,0.04275996113
25841,5,1034,19,0.01837524178
25847,11,999,31,0.03103103103
25849,1,1048,67,0.06393129771
25867,7,1051,48,0.04567078972
25873,1,1059,52,0.04910292729
25889,5,1015,27,0.02660098522
25903,7,1048,91,0.08683206107
25913,5,1037,31,0.02989392478
25919,11,966,22,0.02277432712
25931,11,1002,26,0.02594810379
25933,1,1061,82,0.07728557964
25939,7,1058,38,0.0359168242
25943,11,1026,44,0.04288499025
25951,7,1029,35,0.03401360544
25969,1,1062,61,0.05743879473
25981,1,1061,34,0.03204524034
25997,5,1047,48,0.04584527221
25999,7,1035,31,0.02995169082
26003,11,1037,33,0.03182256509
26017,1,1067,63,0.05904404873
26021,5,1043,19,0.01821668265
26029,1,1055,49,0.04644549763
26041,1,1068,44,0.04119850187
26053,1,1066,101,0.0947467167
26083,7,1070,52,0.04859813084
26099,11,1001,29,0.02897102897
26107,7,1071,59,0.05508870215
26111,11,1005,21,0.02089552239
26113,1,1063,69,0.06491063029
26119,7,1050,46,0.04380952381
26141,5,1058,33,0.03119092628
26153,5,1062,25,0.02354048964
26161,1,1073,61,0.0568499534
26171,11,1000,22,0.022
26177,5,1067,28,0.02624179944
26183,11,1023,37,0.03616813294
26189,5,1049,27,0.02573879886
26203,7,1077,56,0.05199628598
26209,1,1068,30,0.02808988764
26227,7,1074,106,0.09869646182
26237,5,1063,29,0.0272812794
26249,5,1037,29,0.02796528447
26251,7,1071,33,0.03081232493
26261,5,1047,19,0.01814708691
26263,7,1044,78,0.07471264368
26267,11,1044,38,0.03639846743
26293,1,1086,68,0.06261510129
26297,5,1057,37,0.03500473037
26309,5,1028,19,0.01848249027
26317,1,1083,81,0.07479224377
26321,5,1066,21,0.01969981238
26339,11,1035,21,0.02028985507
26347,7,1071,51,0.04761904762
26357,5,1078,32,0.02968460111
26371,7,1074,45,0.04189944134
26387,11,1065,26,0.02441314554
26393,5,1056,40,0.03787878788
26399,11,998,15,0.01503006012
26407,7,1059,64,0.06043437205
26417,5,1061,33,0.03110273327
26423,11,1033,45,0.0435624395
26431,7,1054,58,0.055028463
26437,1,1084,103,0.09501845018
26449,1,1075,72,0.06697674419
26459,11,1042,25,0.02399232246
26479,7,1051,40,0.03805899144
26489,5,1074,21,0.01955307263
26497,1,1092,61,0.05586080586
26501,5,1034,27,0.02611218569
26513,5,1077,30,0.0278551532
26539,7,1067,43,0.04029990628
26557,1,1089,78,0.07162534435
26561,5,1053,23,0.02184235518
26573,5,1071,25,0.0233426704
26591,11,1012,28,0.02766798419
26597,5,1077,25,0.02321262767
26627,11,1049,30,0.0285986654
26633,5,1065,31,0.02910798122
26641,1,1069,50,0.04677268475
26647,7,1071,80,0.07469654528
26669,5,1062,33,0.03107344633
26681,5,1066,23,0.02157598499
26683,7,1091,88,0.080659945
26687,11,1044,50,0.04789272031
26693,5,1077,25,0.02321262767
26699,11,1042,19,0.01823416507
26701,1,1087,59,0.05427782889
26711,11,1003,25,0.02492522433
26713,1,1101,62,0.05631244323
26717,5,1078,47,0.04359925788
26723,11,1079,36,0.03336422614
26729,5,1048,18,0.01717557252
26731,7,1077,57,0.05292479109
26737,1,1093,66,0.06038426349
26759,11,1000,33,0.033
26777,5,1089,38,0.03489439853
26783,11,1043,31,0.0297219559
26801,5,1068,32,0.02996254682
26813,5,1080,47,0.04351851852
26821,1,1098,35,0.03187613843
26833,1,1105,70,0.06334841629
26839,7,1073,52,0.04846225536
26849,5,1081,18,0.01665124884
26861,5,1056,16,0.01515151515
26863,7,1093,78,0.07136322049
26879,11,998,24,0.02404809619
26881,1,1094,38,0.03473491773
26891,11,1080,22,0.02037037037
26893,1,1105,84,0.07601809955
26903,11,1052,26,0.0247148289
26921,5,1076,34,0.03159851301
26927,11,1032,40,0.03875968992
26947,7,1100,57,0.05181818182
26951,11,1060,26,0.02452830189
26953,1,1102,102,0.09255898367
26959,7,1095,35,0.03196347032
26981,5,1079,30,0.02780352178
26987,11,1084,34,0.03136531365
26993,5,1091,30,0.02749770852
27011,11,1031,23,0.02230843841
27017,5,1092,33,0.03021978022
27031,7,1079,34,0.03151065802
27043,7,1108,63,0.05685920578
27059,11,1059,17,0.01605288008
27061,1,1108,66,0.059566787
27067,7,1103,68,0.06165004533
27073,1,1114,51,0.04578096948
27077,5,1092,24,0.02197802198
27091,7,1104,43,0.03894927536
27103,7,1100,83,0.07545454545
27107,11,1087,53,0.04875804968
27109,1,1097,51,0.04649042844
27127,7,1106,57,0.05153707052
27143,11,1073,24,0.02236719478
27179,11,1046,28,0.02676864245
27191,11,1010,29,0.02871287129
27197,5,1108,30,0.02707581227
27211,7,1107,39,0.0352303523
27239,11,1044,18,0.01724137931
27241,1,1117,41,0.03670546106
27253,1,1118,60,0.05366726297
27259,7,1109,47,0.04238052299
27271,7,1076,37,0.0343866171
27277,1,1114,75,0.06732495512
27281,5,1101,26,0.02361489555
27283,7,1114,75,0.06732495512
27299,11,1047,19,0.01814708691
27329,5,1103,26,0.02357207616
27337,1,1123,68,0.06055209261
27361,1,1115,68,0.06098654709
27367,7,1110,55,0.04954954955
27397,1,1121,82,0.07314897413
27407,11,1078,27,0.02504638219
27409,1,1124,34,0.03024911032
27427,7,1122,68,0.06060606061
27431,11,1014,23,0.02268244576
27437,5,1115,43,0.03856502242
27449,5,1111,24,0.02160216022
27457,1,1124,82,0.07295373665
27479,11,1055,20,0.01895734597
27481,1,1116,71,0.06362007168
27487,7,1108,93,0.08393501805
27509,5,1099,30,0.02729754322
27527,11,1063,45,0.04233301976
27529,1,1123,60,0.05342831701
27539,11,1081,20,0.0185013876
27541,1,1113,59,0.0530098832
27551,11,1024,26,0.025390625
27581,5,1112,22,0.01978417266
27583,7,1096,71,0.0647810219
27611,11,1072,28,0.02611940299
27617,5,1118,33,0.02951699463
27631,7,1119,37,0.03306523682
27647,11,1100,31,0.02818181818
27653,5,1115,34,0.03049327354
27673,1,1136,43,0.03785211268
27689,5,1096,21,0.01916058394
27691,7,1107,54,0.0487804878
27697,1,1133,79,0.06972639011
27701,5,1117,19,0.01700984781
27733,1,1138,51,0.04481546573
27737,5,1116,44,0.0394265233
27739,7,1115,39,0.03497757848
27743,11,1083,35,0.0323176362
27749,5,1114,22,0.0197486535
27751,7,1107,53,0.04787714544
27763,7,1140,66,0.05789473684
27767,11,1082,37,0.03419593346
27773,5,1135,31,0.02731277533
27779,11,1099,35,0.03184713376
27791,11,1057,19,0.01797540208
27793,1,1137,77,0.06772207564
27799,7,1105,44,0.03981900452
27803,11,1092,46,0.04212454212
27809,5,1121,29,0.02586975914
27817,1,1139,79,0.06935908692
27823,7,1125,81,0.072
27827,11,1121,32,0.02854594112
27847,7,1117,55,0.04923903312
27851,11,1086,28,0.02578268877
27883,7,1147,72,0.06277244987
27893,5,1115,46,0.04125560538
27901,1,1135,63,0.05550660793
27917,5,1141,33,0.02892199825
27919,7,1114,58,0.05206463196
27941,5,1121,21,0.01873327386
27943,7,1132,92,0.08127208481
27947,11,1098,34,0.03096539162
27953,5,1135,28,0.02466960352
27961,1,1130,59,0.05221238938
27967,7,1134,72,0.06349206349
27983,11,1092,33,0.03021978022
27997,1,1150,54,0.04695652174
28001,5,1107,18,0.0162601626
28019,11,1069,19,0.01777362021
28027,7,1135,58,0.05110132159
28031,11,1056,34,0.0321969697
28051,7,1138,56,0.04920913884
28057,1,1151,48,0.04170286707
28069,1,1139,63,0.05531167691
28081,1,1143,43,0.03762029746
28087,7,1145,94,0.08209606987
28097,5,1122,42,0.03743315508
28099,7,1144,52,0.04545454545
28109,5,1127,19,0.01685891748
28111,7,1110,48,0.04324324324
28123,7,1147,49,0.04272013949
28151,11,1069,24,0.02245088868
28163,11,1141,45,0.03943908852
28181,5,1114,21,0.01885098743
28183,7,1144,47,0.04108391608
28201,1,1138,49,0.04305799649
28211,11,1103,15,0.01359927471
28219,7,1149,49,0.04264577894
28229,5,1128,35,0.03102836879
28277,5,1150,26,0.02260869565
28279,7,1120,45,0.04017857143
28283,11,1142,43,0.03765323993
28289,5,1122,23,0.02049910873
28297,1,1160,98,0.08448275862
28307,11,1143,60,0.05249343832
28309,1,1151,42,0.03649000869
28319,11,1120,21,0.01875
28349,5,1112,19,0.01708633094
28351,7,1138,53,0.04657293497
28387,7,1162,62,0.05335628227
28393,1,1168,59,0.05051369863
28403,11,1155,49,0.04242424242
28409,5,1113,27,0.02425876011
28411,7,1149,76,0.06614447346
28429,1,1167,46,0.03941730934
28433,5,1143,61,0.05336832896
28439,11,1076,37,0.0343866171
28447,7,1158,95,0.08203799655
28463,11,1141,33,0.02892199825
28477,1,1173,65,0.05541346974
28493,5,1139,44,0.03863037752
28499,11,1131,17,0.01503094607
28513,1,1172,65,0.05546075085
28517,5,1155,58,0.05021645022
28537,1,1170,94,0.08034188034
28541,5,1134,22,0.01940035273
28547,11,1149,29,0.02523933856
28549,1,1162,56,0.04819277108
28559,11,1082,32,0.02957486137
28571,11,1130,18,0.01592920354
28573,1,1163,90,0.07738607051
28579,7,1158,66,0.05699481865
28591,7,1126,36,0.03197158082
28597,1,1173,47,0.04006820119
28603,7,1167,63,0.05398457584
28607,11,1106,34,0.03074141049
28619,11,1104,35,0.03170289855
28621,1,1169,49,0.04191616766
28627,7,1168,60,0.05136986301
28631,11,1127,24,0.02129547471
28643,11,1123,33,0.02938557435
28649,5,1134,34,0.02998236332
28657,1,1172,82,0.06996587031
28661,5,1123,28,0.0249332146
28663,7,1154,96,0.08318890815
28669,1,1174,51,0.04344122658
28687,7,1160,52,0.04482758621
28697,5,1171,40,0.0341588386
28703,11,1114,34,0.03052064632
28711,7,1148,46,0.04006968641
28723,7,1176,60,0.05102040816
28729,1,1174,38,0.03236797274
28751,11,1110,21,0.01891891892
28753,1,1184,45,0.03800675676
28759,7,1140,55,0.04824561404
28771,7,1174,43,0.03662691652
28789,1,1167,55,0.0471293916
28793,5,1168,27,0.02311643836
28807,7,1164,69,0.05927835052
28813,1,1188,80,0.06734006734
28817,5,1147,33,0.02877070619
28837,1,1184,42,0.03547297297
28843,7,1179,87,0.0737913486
28859,11,1110,25,0.02252252252
28867,7,1182,105,0.08883248731
28871,11,1087,19,0.01747930083
28879,7,1161,49,0.04220499569
28901,5,1149,28,0.02436901654
28909,1,1166,60,0.05145797599
28921,1,1175,43,0.03659574468
28927,7,1173,75,0.06393861893
28933,1,1191,65,0.05457598657
28949,5,1150,22,0.01913043478
28961,5,1176,21,0.01785714286
28979,11,1151,36,0.0312771503
29009,5,1158,17,0.01468048359
29017,1,1194,59,0.04941373534
29021,5,1157,30,0.02592912705
29023,7,1178,74,0.06281833616
29027,11,1157,52,0.04494382022
29033,5,1177,32,0.02718776551
29059,7,1170,35,0.02991452991
29063,11,1144,43,0.03758741259
29077,1,1194,97,0.08123953099
29101,1,1188,37,0.03114478114
29123,11,1139,35,0.03072870939
29129,5,1162,21,0.01807228916
29131,7,1187,53,0.04465037911
29137,1,1194,88,0.07370184255
29147,11,1158,41,0.03540587219
29153,5,1179,55,0.04664970314
29167,7,1173,65,0.05541346974
29173,1,1200,60,0.05
29179,7,1173,48,0.04092071611
29191,7,1176,50,0.0425170068
29201,5,1171,22,0.01878736123
29207,11,1121,37,0.03300624442
29209,1,1190,65,0.05462184874
29221,1,1188,56,0.04713804714
29231,11,1103,36,0.03263825929
29243,11,1186,30,0.02529510961
29251,7,1178,44,0.03735144312
29269,1,1202,53,0.04409317804
29287,7,1188,102,0.08585858586
29297,5,1198,33,0.02754590985
29303,11,1156,24,0.02076124567
29311,7,1169,31,0.02651839179
29327,11,1165,35,0.03004291845
29333,5,1184,43,0.03631756757
29339,11,1162,20,0.01721170396
29347,7,1196,92,0.07692307692
29363,11,1163,44,0.03783319003
29383,7,1197,55,0.04594820384
29387,11,1180,28,0.02372881356
29389,1,1187,41,0.03454085931
29399,11,1104,25,0.02264492754
29401,1,1201,55,0.04579517069
29411,11,1149,19,0.01653611836
29423,11,1179,37,0.03138252757
29429,5,1184,24,0.02027027027
29437,1,1216,86,0.07072368421
29443,7,1202,62,0.05158069884
29453,5,1197,31,0.02589807853
29473,1,1213,97,0.07996702391
29483,11,1174,32,0.0272572402
29501,5,1161,22,0.01894918174
29527,7,1195,69,0.05774058577
29531,11,1142,29,0.02539404553
29537,5,1192,27,0.02265100671
29567,11,1138,32,0.02811950791
29569,1,1214,58,0.04777594728
29573,5,1196,43,0.03595317726
29581,1,1204,62,0.05149501661
29587,7,1204,65,0.05398671096
29599,7,1181,70,0.05927180356
29611,7,1201,40,0.03330557868
29629,1,1196,60,0.05016722408
29633,5,1200,29,0.02416666667
29641,1,1201,54,0.04496253122
29663,11,1161,29,0.02497846684
29669,5,1162,25,0.02151462995
29671,7,1188,45,0.03787878788
29683,7,1210,88,0.07272727273
29717,5,1204,34,0.02823920266
29723,11,1210,40,0.03305785124
29741,5,1165,24,0.02060085837
29753,5,1202,38,0.03161397671
29759,11,1153,23,0.01994796184
29761,1,1212,38,0.03135313531
29789,5,1206,22,0.01824212272
29803,7,1223,86,0.07031888798
29819,11,1150,23,0.02
29833,1,1222,96,0.07855973813
29837,5,1211,58,0.04789430223
29851,7,1189,58,0.0487804878
29863,7,1222,49,0.04009819967
29867,11,1192,41,0.03439597315
29873,5,1210,37,0.0305785124
29879,11,1148,31,0.02700348432
29881,1,1221,56,0.04586404586
29917,1,1227,66,0.05378973105
29921,5,1180,36,0.03050847458
29927,11,1174,22,0.01873935264
29947,7,1233,62,0.0502838605
29959,7,1190,55,0.04621848739
29983,7,1220,64,0.05245901639
29989,1,1232,67,0.05438311688
30011,11,1190,24,0.02016806723
30013,1,1234,66,0.05348460292
30029,5,1188,27,0.02272727273
30047,11,1156,32,0.0276816609
30059,11,1188,20,0.01683501684
30071,11,1124,31,0.02758007117
30089,5,1191,29,0.02434928631
30091,7,1197,47,0.03926482874
30097,1,1243,72,0.05792437651
30103,7,1206,96,0.07960199005
30109,1,1228,31,0.02524429967
30113,5,1220,44,0.03606557377
30119,11,1161,29,0.02497846684
30133,1,1233,80,0.06488240065
30137,5,1213,28,0.02308326463
30139,7,1229,47,0.03824247356
30161,5,1185,19,0.01603375527
30169,1,1227,50,0.04074979625
30181,1,1235,36,0.02914979757
30187,7,1235,91,0.07368421053
30197,5,1223,52,0.04251839738
30203,11,1196,30,0.02508361204
30211,7,1220,59,0.04836065574
30223,7,1231,50,0.04061738424
30241,1,1226,34,0.0277324633
30253,1,1245,96,0.07710843373
30259,7,1218,83,0.06814449918
30269,5,1204,18,0.01495016611
30271,7,1206,50,0.04145936982
30293,5,1232,34,0.0275974026
30307,7,1238,58,0.04684975767
30313,1,1233,87,0.07055961071
30319,7,1214,47,0.03871499176
30323,11,1219,30,0.02461033634
30341,5,1197,30,0.02506265664
30347,11,1226,39,0.03181076672
30367,7,1233,58,0.04703974047
30389,5,1228,18,0.01465798046
30391,7,1218,36,0.02955665025
30403,7,1242,46,0.03703703704
30427,7,1243,94,0.07562349155
30431,11,1186,23,0.01939291737
30449,5,1204,34,0.02823920266
30467,11,1217,40,0.03286770748
30469,1,1233,51,0.04136253041
30491,11,1192,24,0.02013422819
30493,1,1261,77,0.06106264869
30497,5,1226,48,0.03915171289
30509,5,1204,23,0.01910299003
30517,1,1255,75,0.05976095618
30529,1,1252,42,0.03354632588
30539,11,1224,31,0.02532679739
30553,1,1249,75,0.06004803843
30557,5,1241,31,0.02497985496
30559,7,1228,43,0.03501628664
30577,1,1259,68,0.05401111994
30593,5,1230,32,0.02601626016
30631,7,1206,43,0.03565505804
30637,1,1257,68,0.05409705648
30643,7,1252,76,0.0607028754
30649,1,1247,62,0.04971932638
30661,1,1259,36,0.02859412232
30671,11,1198,19,0.01585976628
30677,5,1235,38,0.03076923077
30689,5,1215,20,0.01646090535
30697,1,1264,51,0.04034810127
30703,7,1236,52,0.04207119741
30707,11,1215,30,0.02469135802
30713,5,1256,41,0.0326433121
30727,7,1249,93,0.07445956765
30757,1,1259,78,0.06195393169
30763,7,1255,59,0.04701195219
30773,5,1244,30,0.02411575563
30781,1,1258,47,0.0373608903
30803,11,1245,51,0.04096385542
30809,5,1236,19,0.01537216828
30817,1,1260,88,0.06984126984
30829,1,1265,50,0.0395256917
30839,11,1172,18,0.01535836177
30841,1,1258,69,0.05484896661
30851,11,1211,18,0.01486374897
30853,1,1270,76,0.05984251969
30859,7,1245,45,0.03614457831
30869,5,1234,27,0.02188006483
30871,7,1230,54,0.04390243902
30881,5,1239,30,0.02421307506
30893,5,1259,41,0.0325655282
30911,11,1176,24,0.02040816327
30931,7,1232,50,0.04058441558
30937,1,1274,71,0.0557299843
30941,5,1247,25,0.02004811548
30949,1,1259,42,0.03335980937
30971,11,1218,29,0.02380952381
30977,5,1267,38,0.02999210734
30983,11,1219,24,0.01968826907
31013,5,1265,52,0.04110671937
31019,11,1228,20,0.01628664495
31033,1,1278,63,0.04929577465
31039,7,1247,39,0.03127506014
31051,7,1265,75,0.05928853755
31063,7,1268,69,0.05441640379
31069,1,1268,58,0.04574132492
31079,11,1173,25,0.02131287298
31081,1,1277,39,0.0305403289
31091,11,1249,26,0.02081665332
31121,5,1222,20,0.01636661211
31123,7,1278,67,0.0524256651
31139,11,1213,30,0.02473206925
31147,7,1275,54,0.04235294118
31151,11,1184,13,0.01097972973
31153,1,1276,108,0.08463949843
31159,7,1240,50,0.04032258065
31177,1,1281,97,0.07572209212
31181,5,1234,25,0.02025931929
31183,7,1264,85,0.06724683544
31189,1,1283,48,0.03741231489
31193,5,1268,35,0.02760252366
31219,7,1268,64,0.05047318612
31223,11,1230,43,0.03495934959
31231,7,1250,47,0.0376
31237,1,1281,90,0.07025761124
31247,11,1218,52,0.04269293924
31249,1,1278,38,0.02973395931
31253,5,1254,33,0.02631578947
31259,11,1248,23,0.01842948718
31267,7,1280,104,0.08125
31271,11,1218,32,0.026272578
31277,5,1275,31,0.02431372549
31307,11,1250,30,0.024
31319,11,1222,20,0.01636661211
31321,1,1282,61,0.04758190328
31327,7,1263,46,0.03642121932
31333,1,1284,76,0.05919003115
31337,5,1273,59,0.04634721131
31357,1,1291,61,0.04725019365
31379,11,1205,21,0.01742738589
31387,7,1279,92,0.07193119625
31391,11,1164,24,0.0206185567
31393,1,1288,96,0.07453416149
31397,5,1284,42,0.03271028037
31469,5,1266,26,0.0205371248
31477,1,1289,62,0.04809930178
31481,5,1262,21,0.01664025357
31489,1,1275,44,0.03450980392
31511,11,1218,20,0.01642036125
31513,1,1294,94,0.07264296754
31517,5,1259,42,0.03335980937
31531,7,1271,72,0.05664830842
31541,5,1267,26,0.02052091555
31543,7,1282,61,0.04758190328
31547,11,1254,41,0.0326953748
31567,7,1278,52,0.0406885759
31573,1,1292,93,0.07198142415
31583,11,1248,42,0.03365384615
31601,5,1255,35,0.02788844622
31607,11,1242,32,0.02576489533
31627,7,1301,69,0.05303612606
31643,11,1256,32,0.02547770701
31649,5,1283,20,0.01558846454
31657,1,1299,87,0.06697459584
31663,7,1289,90,0.06982156711
31667,11,1261,39,0.03092783505
31687,7,1281,78,0.06088992974
31699,7,1284,58,0.04517133956
31721,5,1259,16,0.01270849881
31723,7,1285,66,0.0513618677
31727,11,1261,52,0.0412371134
31729,1,1299,58,0.04464973056
31741,1,1296,54,0.04166666667
31751,11,1215,33,0.02716049383
31769,5,1271,35,0.02753737215
31771,7,1273,60,0.04713275727
31793,5,1290,54,0.04186046512
31799,11,1197,27,0.02255639098
31817,5,1299,40,0.03079291763
31847,11,1245,22,0.01767068273
31849,1,1291,74,0.05731990705
31859,11,1257,24,0.01909307876
31873,1,1309,52,0.0397249809
31883,11,1278,56,0.04381846635
31891,7,1280,50,0.0390625
31907,11,1283,38,0.02961808262
31957,1,1308,54,0.04128440367
31963,7,1311,43,0.03279938978
31973,5,1298,38,0.02927580894
31981,1,1301,69,0.05303612606
31991,11,1245,24,0.01927710843
32003,11,1271,55,0.04327301338
32009,5,1251,23,0.01838529177
32027,11,1296,33,0.02546296296
32029,1,1300,39,0.03
32051,11,1261,23,0.01823949247
32057,5,1312,35,0.02667682927
32059,7,1303,63,0.04834996163
32063,11,1262,54,0.04278922345
32069,5,1295,27,0.02084942085
32077,1,1316,121,0.09194528875
32083,7,1306,69,0.0528330781
32089,1,1316,38,0.02887537994
32099,11,1285,27,0.02101167315
32117,5,1309,31,0.02368220015
32119,7,1264,51,0.04034810127
32141,5,1290,18,0.01395348837
32143,7,1294,99,0.07650695518
32159,11,1239,21,0.01694915254
32173,1,1328,96,0.07228915663
32183,11,1275,32,0.02509803922
32189,5,1267,30,0.02367797948
32191,7,1278,58,0.04538341158
32203,7,1317,74,0.05618830676
32213,5,1297,36,0.02775636083
32233,1,1324,122,0.09214501511
32237,5,1309,23,0.01757066463
32251,7,1311,54,0.04118993135
32257,1,1321,70,0.05299015897
32261,5,1283,30,0.0233826968
32297,5,1313,53,0.04036557502
32299,7,1317,58,0.04403948368
32303,11,1262,46,0.03645007924
32309,5,1292,26,0.02012383901
32321,5,1301,20,0.01537279016
32323,7,1332,83,0.06231231231
32327,11,1289,28,0.02172226532
32341,1,1321,38,0.0287660863
32353,1,1324,80,0.06042296073
32359,7,1271,61,0.04799370574
32363,11,1318,31,0.02352048558
32369,5,1284,17,0.01323987539
32371,7,1304,58,0.04447852761
32377,1,1336,89,0.06661676647
32381,5,1282,39,0.03042121685
32401,1,1317,68,0.0516324981
32411,11,1300,25,0.01923076923
32413,1,1323,56,0.04232804233
32423,11,1251,37,0.02957633893
32429,5,1289,34,0.02637703646
32441,5,1282,30,0.02340093604
32443,7,1327,96,0.07234363225
32467,7,1330,61,0.04586466165
