Prime,Prime Mod 12,# of Conjugate Pairs,# of Isogenous Conjugate Pairs,% of Isogenous Conjugates
12569,5,493,12,0.02434077079
12577,1,512,58,0.11328125
12583,7,506,31,0.06126482213
12589,1,507,49,0.0966469428
12601,1,505,27,0.05346534653
12611,11,485,13,0.02680412371
12613,1,510,51,0.1
12619,7,493,29,0.05882352941
12637,1,516,42,0.08139534884
12641,5,489,19,0.03885480573
12647,11,467,27,0.05781584582
12653,5,509,19,0.0373280943
12659,11,483,18,0.03726708075
12671,11,463,11,0.02375809935
12689,5,488,14,0.02868852459
12697,1,518,56,0.1081081081
12703,7,502,69,0.1374501992
12713,5,505,16,0.03168316832
12721,1,519,27,0.05202312139
12739,7,508,41,0.08070866142
12743,11,483,27,0.05590062112
12757,1,515,40,0.07766990291
12763,7,517,50,0.09671179884
12781,1,515,27,0.05242718447
12791,11,480,12,0.025
12799,7,487,38,0.07802874743
12809,5,488,16,0.03278688525
12821,5,501,11,0.02195608782
12823,7,511,50,0.09784735812
12829,1,520,46,0.08846153846
12841,1,514,39,0.07587548638
12853,1,526,48,0.09125475285
12889,1,523,29,0.05544933078
12893,5,519,28,0.05394990366
12899,11,473,16,0.03382663848
12907,7,521,72,0.1381957774
12911,11,456,16,0.0350877193
12917,5,520,28,0.05384615385
12919,7,505,32,0.06336633663
12923,11,508,21,0.04133858268
12941,5,501,18,0.03592814371
12953,5,512,26,0.05078125
12959,11,491,13,0.02647657841
12967,7,522,66,0.1264367816
12973,1,530,42,0.07924528302
12979,7,516,27,0.0523255814
12983,11,491,27,0.0549898167
13001,5,506,13,0.0256916996
13003,7,531,46,0.08662900188
13007,11,513,29,0.05653021442
13009,1,517,32,0.06189555126
13033,1,533,67,0.1257035647
13037,5,511,28,0.05479452055
13043,11,513,22,0.04288499025
13049,5,509,12,0.02357563851
13063,7,519,41,0.07899807322
13093,1,535,60,0.1121495327
13099,7,523,33,0.06309751434
13103,11,481,24,0.0498960499
13109,5,497,16,0.03219315895
13121,5,511,21,0.04109589041
13127,11,513,22,0.04288499025
13147,7,533,32,0.06003752345
13151,11,472,14,0.02966101695
13159,7,507,43,0.08481262327
13163,11,510,22,0.0431372549
13171,7,528,41,0.07765151515
13177,1,533,61,0.1144465291
13183,7,533,48,0.09005628518
13187,11,527,31,0.05882352941
13217,5,521,22,0.04222648752
13219,7,520,33,0.06346153846
13229,5,513,18,0.0350877193
13241,5,524,17,0.03244274809
13249,1,535,36,0.06728971963
13259,11,506,19,0.03754940711
13267,7,542,57,0.1051660517
13291,7,533,45,0.08442776735
13297,1,547,52,0.09506398537
13309,1,535,26,0.04859813084
13313,5,524,26,0.04961832061
13327,7,521,53,0.1017274472
13331,11,499,14,0.02805611222
13337,5,537,20,0.03724394786
13339,7,535,26,0.04859813084
13367,11,508,16,0.03149606299
13381,1,542,27,0.04981549815
13397,5,527,28,0.05313092979
13399,7,532,24,0.04511278195
13411,7,532,39,0.07330827068
13417,1,542,52,0.09594095941
13421,5,532,18,0.03383458647
13441,1,544,22,0.04044117647
13451,11,516,14,0.02713178295
13457,5,540,34,0.06296296296
13463,11,522,20,0.03831417625
13469,5,530,14,0.02641509434
13477,1,549,43,0.07832422587
13487,11,522,34,0.06513409962
13499,11,506,23,0.04545454545
13513,1,553,67,0.1211573237
13523,11,525,29,0.05523809524
13537,1,549,47,0.08561020036
13553,5,546,29,0.05311355311
13567,7,545,54,0.09908256881
13577,5,548,27,0.04927007299
13591,7,532,32,0.06015037594
13597,1,556,45,0.0809352518
13613,5,537,34,0.06331471136
13619,11,535,15,0.02803738318
13627,7,551,60,0.108892922
13633,1,558,53,0.09498207885
13649,5,524,22,0.04198473282
13669,1,544,44,0.08088235294
13679,11,497,9,0.01810865191
13681,1,547,38,0.06946983547
13687,7,555,51,0.09189189189
13691,11,524,16,0.03053435115
13693,1,560,42,0.075
13697,5,546,30,0.05494505495
13709,5,543,18,0.03314917127
13711,7,527,26,0.04933586338
